claim_id,tier,status,claim,evidence,allowed_manuscript_wording,forbidden_or_overstated_wording,note
L_sB_boundary_broad,LIMITATION,QUALIFIED,The optimal B-slow scale is not identified under the broad prior.,Extended grid best scale=0.01; boundary_status=best_at_new_lower_boundary.,The tested range supports stronger kinetic separation but does not identify a biological slowing factor.,Do not report sB=0.01 as an estimated biological timescale ratio.,
L_sB_boundary_reference,LIMITATION,QUALIFIED,The optimal B-slow scale is not identified under the reference prior.,Extended grid best scale=0.01; boundary_status=best_at_new_lower_boundary.,The tested range supports stronger kinetic separation but does not identify a biological slowing factor.,Do not report sB=0.01 as an estimated biological timescale ratio.,
S4_dual_broad,SECONDARY,PASS,The dual A-fast/B-slow extension is a secondary sensitivity analysis.,"broad: condition=G100_T050_R160, braess_fraction=0.139600, braess_r_median=1.093522, empirical_span_fraction=0.010200.",The dual extension does not replace the Base topology result.,Do not present the dual model as the central mechanism.,
S4_dual_reference,SECONDARY,PASS,The dual A-fast/B-slow extension is a secondary sensitivity analysis.,"reference: condition=G200_T050_R010, braess_fraction=0.042000, braess_r_median=1.026640, empirical_span_fraction=0.000000.",The dual extension does not replace the Base topology result.,Do not present the dual model as the central mechanism.,
L_control,LIMITATION,GUARD,same-day control references are not proven within-cell controls,Frozen Steps03-08 methods/definitions.,Use 'same-day reference'.,Do not call the design fully paired within-cell.,
L_prevalence,LIMITATION,GUARD,model fractions are prior/grid compatibility measures,Frozen Steps03-08 methods/definitions.,Use 'fraction of sampled parameter sets/forcing contexts'.,Do not call model fractions cell prevalence or phenotype prevalence.,
L_glutamate,LIMITATION,GUARD,the model uses normalized glutamate forcing,Frozen Steps03-08 methods/definitions.,Describe G as normalized forcing/context.,Do not claim physical glutamate redistribution between receptor pools.,
L_grid_probability,LIMITATION,GUARD,"the G x tau forcing grid is a design grid, not a probability distribution",Frozen Steps03-08 methods/definitions.,Use 'forcing grid' or 'forcing context'.,Do not interpret grid coverage as exposure probability.,
L_endpoint,LIMITATION,GUARD,positive stimulation peak heights are excluded from the scientific endpoint,Frozen Steps03-08 methods/definitions.,Use 'negative inter-pulse train plateau'.,Do not use the 25 positive artifact peaks as the model target.,
L_magnitude,LIMITATION,GUARD,magnitude compatibility is continuous,Frozen Steps03-08 methods/definitions.,Compare continuously to the five frozen experimental ratios.,Do not invent a second binary magnitude threshold.,
